date,Output,Heat Rate,Heat Consumption,Exhaust Temperature,Exhaust Flow
2022-06-28 18:00:00+00:00,89724.7528748593,11086.76061208641,958906846.2334164,1043.585458108046,926353.5689436336
2022-06-28 19:00:00+00:00,89631.45327818912,11087.065573479464,957935659.6157573,1043.5869585011494,925414.8886874322
2022-06-28 20:00:00+00:00,89594.13343952106,11087.187558036685,957547184.9686937,1043.5875586583907,925039.4165849517
2022-06-28 21:00:00+00:00,89556.81360085298,12173.783046922026,957158710.32163,1085.888158815632,802405.9948589895
2022-06-28 22:00:00+00:00,89556.81360085298,26591.063607660588,957158710.32163,869.4881588156321,635075.5929291679
2022-06-28 23:00:00+00:00,89594.13343952106,26590.771048035756,957547184.9686937,869.4875586583908,635333.4738269082
2022-06-29 00:00:00+00:00,89668.77311685719,26590.185928786086,958324134.262821,869.486358343908,635849.2356223887
2022-06-29 01:00:00+00:00,89743.41279419335,26589.600809536416,959101083.5569484,869.4851580294253,636364.997417869
2022-06-29 02:00:00+00:00,89780.70984339928,26589.315963980396,959489558.2040123,869.4845578721839,636622.8783156094
2022-06-29 03:00:00+00:00,89827.2024961192,26589.00345710841,959975151.5128417,869.4838076756322,636945.2294377845
2022-06-29 04:00:00+00:00,89855.09808775112,26588.81595298522,960266507.4981393,869.4833575577011,637138.6401110896
2022-06-29 05:00:00+00:00,89790.00837394324,26589.253462605997,959586676.8657782,869.4844078328736,636687.3485400445
2022-06-29 06:00:00+00:00,89752.74275386037,20146.99063354391,959198202.2187142,973.7350079901149,634502.4637582921
2022-06-29 07:00:00+00:00,89715.42291519229,20147.212307132642,958809727.5716506,973.7356081473563,634245.3636815491
2022-06-29 08:00:00+00:00,89734.08283452633,20147.101470338275,959003964.8951825,973.7353080687357,634373.9137199207
2022-06-29 09:00:00+00:00,89752.74275386037,15296.717837546832,959198202.2187142,1101.085007990115,665410.0946822471
2022-06-29 10:00:00+00:00,89762.07271352739,15296.675760811893,959295320.8804802,1101.0848579508047,665477.5006405294
2022-06-29 11:00:00+00:00,89790.00837394324,15296.560088694334,959586676.8657782,1101.0844078328737,665679.7185153764
2022-06-29 12:00:00+00:00,89808.6054350312,15296.488175729164,959780914.1893098,1101.0841077542527,665814.5304319409
2022-06-29 13:00:00+00:00,89855.09808775112,15296.308393316238,960266507.4981393,1101.0833575577012,666151.5602233523
2022-06-29 14:00:00+00:00,89873.69514883909,15296.236480351068,960460744.8216712,1101.0830574790805,666286.3721399171
2022-06-29 15:00:00+00:00,89873.69514883909,15296.236480351068,960460744.8216712,1101.0830574790805,666286.3721399171
2022-06-29 16:00:00+00:00,89836.50102666317,15296.380306281406,960072270.1746076,1101.0836576363217,666016.7483067879
2022-06-29 17:00:00+00:00,89762.07271352739,11086.63862752919,959295320.8804802,1043.5848579508047,926729.0410461138
2022-06-29 18:00:00+00:00,89696.76299585825,11086.852100504326,958615490.2481189,1043.5859082259772,926071.9648667731
2022-06-29 19:00:00+00:00,89603.46339918807,11087.15706189738,957644303.6304597,1043.5874086190804,925133.2846105718
2022-06-29 20:00:00+00:00,89640.78323785614,11087.035077340159,958032778.2775232,1043.5868084618392,925508.7567130523
2022-06-29 21:00:00+00:00,89547.48364118594,12173.816531455155,957061591.6598641,1085.8883088549426,802324.5379503118
2022-06-29 22:00:00+00:00,89482.17392351684,26591.648726910265,956381761.0275028,869.489359130115,634559.8311336875
2022-06-29 23:00:00+00:00,89500.83384285087,26591.502447097842,956575998.3510345,869.4890590514942,634688.7715825575
2022-06-30 00:00:00+00:00,89640.78323785614,26590.40534850471,958032778.2775232,869.486808461839,635655.8249490834
2022-06-30 01:00:00+00:00,89678.10307652422,26590.112788879873,958421252.924587,869.4862083045977,635913.7058468236
2022-06-30 02:00:00+00:00,89696.76299585825,26589.966509067453,958615490.2481189,869.485908225977,636042.6462956938
2022-06-30 03:00:00+00:00,89696.76299585825,26589.966509067453,958615490.2481189,869.485908225977,636042.6462956938
2022-06-30 04:00:00+00:00,89668.77311685719,26590.185928786086,958324134.262821,869.486358343908,635849.2356223887
2022-06-30 05:00:00+00:00,89603.46339918807,26590.697908129547,957644303.6304597,869.4874086190804,635397.9440513431
2022-06-30 06:00:00+00:00,89528.82372185192,20148.32067507632,956867354.3363323,973.7386089335632,632959.8632978338
2022-06-30 07:00:00+00:00,89491.50388318385,20148.54234866506,956478879.6892687,973.7392090908046,632702.7632210908
2022-06-30 08:00:00+00:00,89472.84396384981,20148.65318545943,956284642.3657367,973.7395091694252,632574.2131827194
2022-06-30 09:00:00+00:00,89435.52412518174,15298.148446534802,955896167.7186731,1101.0901093266666,663118.2921006494
2022-06-30 10:00:00+00:00,89482.17392351684,15297.938062860103,956381761.0275028,1101.089359130115,663455.3218920608
2022-06-30 11:00:00+00:00,89538.15368151895,15297.685602450461,956964472.9980981,1101.0884588942529,663859.7576417545
2022-06-30 12:00:00+00:00,89566.14356052,15297.559372245638,957255828.9833959,1101.0880087763219,664061.9755166013
2022-06-30 13:00:00+00:00,89538.15368151895,15297.685602450461,956964472.9980981,1101.0884588942529,663859.7576417545
2022-06-30 14:00:00+00:00,89584.80347985403,15297.475218775757,957450066.3069278,1101.0877086977011,664196.7874331659
2022-06-30 15:00:00+00:00,89612.7933588551,15297.348988570939,957741422.2922256,1101.0872585797702,664399.0053080128
2022-06-30 16:00:00+00:00,89556.81360085298,15297.601448980578,957158710.32163,1101.0881588156321,663994.5695583192
2022-06-30 17:00:00+00:00,89463.51400418281,11087.61450398696,956187523.7039708,1043.5896592087356,923725.26422627
2022-06-30 18:00:00+00:00,89314.2346495105,11088.102442215843,954633625.1157161,1043.592059837701,922223.3758163479
2022-06-30 19:00:00+00:00,89239.59497217435,11088.346411330287,953856675.8215889,1043.593260152184,921472.4316113871
2022-06-30 20:00:00+00:00,89239.59497217435,11088.346411330287,953856675.8215889,1043.593260152184,921472.4316113871
2022-06-30 21:00:00+00:00,89220.93505284032,12174.98849011461,953662438.4980569,1085.8935602308045,799473.5461465962
2022-06-30 22:00:00+00:00,89286.24477050945,26593.18466494065,954342269.1304184,869.4925099556322,633205.9564205512
2022-06-30 23:00:00+00:00,89323.56460917753,26592.892105315823,954730743.7774822,869.4919097983908,633463.8373182915
